name,component,total
xmit_bytes,switch31:port2,0
xmit_bytes,switch31:port3,0
xmit_bytes,switch31:port4,0
xmit_bytes,switch31:port5,0
xmit_bytes,switch31:port6,0
xmit_bytes,switch31:port7,0
xmit_bytes,switch32:port0,0
xmit_bytes,switch32:port1,0
xmit_bytes,switch32:port2,0
xmit_bytes,switch32:port3,0
xmit_bytes,switch32:port4,0
xmit_bytes,switch32:port5,0
xmit_bytes,switch32:port6,0
xmit_bytes,switch32:port7,0
xmit_bytes,switch33:port0,0
xmit_bytes,switch33:port1,0
xmit_bytes,switch33:port2,0
xmit_bytes,switch33:port3,0
xmit_bytes,switch33:port4,0
xmit_bytes,switch33:port5,0
xmit_bytes,switch33:port6,0
xmit_bytes,switch33:port7,0
xmit_bytes,switch34:port0,0
xmit_bytes,switch34:port1,0
xmit_bytes,switch34:port2,0
xmit_bytes,switch34:port3,0
xmit_bytes,switch34:port4,0
xmit_bytes,switch34:port5,0
xmit_bytes,switch34:port6,0
xmit_bytes,switch34:port7,0
xmit_bytes,switch35:port0,0
xmit_bytes,switch35:port1,0
xmit_bytes,switch35:port2,0
xmit_bytes,switch35:port3,0
xmit_bytes,switch35:port4,0
xmit_bytes,switch35:port5,0
xmit_bytes,switch35:port6,0
xmit_bytes,switch35:port7,0
xmit_bytes,switch36:port0,0
xmit_bytes,switch36:port1,0
xmit_bytes,switch36:port2,0
xmit_bytes,switch36:port3,0
xmit_bytes,switch36:port4,0
xmit_bytes,switch36:port5,0
xmit_bytes,switch36:port6,0
xmit_bytes,switch36:port7,0
xmit_bytes,switch37:port0,0
xmit_bytes,switch37:port1,0
xmit_bytes,switch37:port2,0
xmit_bytes,switch37:port3,0
xmit_bytes,switch37:port4,0
xmit_bytes,switch37:port5,0
xmit_bytes,switch37:port6,0
xmit_bytes,switch37:port7,0
xmit_bytes,switch38:port0,0
xmit_bytes,switch38:port1,0
xmit_bytes,switch38:port2,0
xmit_bytes,switch38:port3,0
xmit_bytes,switch38:port4,0
xmit_bytes,switch38:port5,0
xmit_bytes,switch38:port6,0
xmit_bytes,switch38:port7,0
xmit_bytes,switch39:port0,0
xmit_bytes,switch39:port1,0
xmit_bytes,switch39:port2,0
xmit_bytes,switch39:port3,0
xmit_bytes,switch39:port4,0
xmit_bytes,switch39:port5,0
xmit_bytes,switch39:port6,0
xmit_bytes,switch39:port7,0
